grid_id,LeftBottom_x,LeftBottom_y,RightTop_x,RightTop_y,Centroid_x,Centroid_y,row,col,area1,area2,area3,all_grid_id,address
0,120.21363591854448,23.22864195919559,120.21854987516407,23.23315659111765,120.21609289685426,23.230899275156606,40,38,臺南市,學甲區|麻豆區,新達里|港尾里,15177,臺南市學甲區新達里瓦寮84
1,120.21854987516407,23.22864195919559,120.22346383178363,23.23315659111765,120.22100685347387,23.230899275156606,40,39,臺南市,下營區|學甲區|麻豆區,北勢里|大吉里|新達里|港尾里,15178,臺南市學甲區新達里瓦寮84
2,120.22346383178363,23.22864195919559,120.22837778840322,23.23315659111765,120.22592081009344,23.230899275156606,40,40,臺南市,下營區|麻豆區,北勢里|大吉里,15179,臺南市下營區大吉里174
3,120.21363591854448,23.224127327273532,120.21854987516407,23.22864195919559,120.21609289685426,23.226384643234557,41,38,臺南市,學甲區|麻豆區,新達里|港尾里,15180,臺南市學甲區豐和里
4,120.21854987516407,23.224127327273532,120.22346383178363,23.22864195919559,120.22100685347387,23.226384643234557,41,39,臺南市,麻豆區,北勢里|港尾里,15181,臺南市麻豆區港尾里
5,120.22346383178363,23.224127327273532,120.22837778840322,23.22864195919559,120.22592081009344,23.226384643234557,41,40,臺南市,下營區|麻豆區,北勢里|大吉里|港尾里,15182,臺南市學甲區新達里瓦寮84
6,120.22837778840322,23.224127327273532,120.23329174502285,23.22864195919559,120.230834766713,23.226384643234557,41,41,臺南市,下營區|麻豆區,北勢里|大吉里,15183,臺南市下營區大吉里南57
7,120.20872196192488,23.21961269535147,120.21363591854448,23.224127327273532,120.21117894023467,23.22187001131249,42,37,臺南市,學甲區|麻豆區,新達里|港尾里|豐和里,15184,臺南市學甲區豐和里
8,120.21363591854448,23.21961269535147,120.21854987516407,23.224127327273532,120.21609289685426,23.22187001131249,42,38,臺南市,學甲區|麻豆區,新達里|港尾里|豐和里,15185,臺南市學甲區豐和里
9,120.21854987516407,23.21961269535147,120.22346383178363,23.224127327273532,120.22100685347387,23.22187001131249,42,39,臺南市,麻豆區,北勢里|港尾里,15186,臺南市麻豆區港尾里客仔寮南50
10,120.22346383178363,23.21961269535147,120.22837778840322,23.224127327273532,120.22592081009344,23.22187001131249,42,40,臺南市,麻豆區,北勢里|港尾里,15187,臺南市麻豆區北勢里九股寮南50
11,120.22837778840322,23.21961269535147,120.23329174502285,23.224127327273532,120.230834766713,23.22187001131249,42,41,臺南市,下營區|麻豆區,北勢里|大吉里,15188,臺南市學甲區新達里瓦寮84
12,120.23329174502285,23.21961269535147,120.2382057016424,23.224127327273532,120.23574872333259,23.22187001131249,42,42,臺南市,下營區|麻豆區,北勢里|大吉里,15189,臺南市麻豆區寮廍里84
13,120.20872196192488,23.21509806342941,120.21363591854448,23.21961269535147,120.21117894023467,23.21735537939044,43,37,臺南市,學甲區|麻豆區,港尾里|豐和里,15190,臺南市學甲區豐和里中草坔麻學路三段
14,120.21363591854448,23.21509806342941,120.21854987516407,23.21961269535147,120.21609289685426,23.21735537939044,43,38,臺南市,麻豆區,港尾里,15191,臺南市學甲區豐和里
15,120.21854987516407,23.21509806342941,120.22346383178363,23.21961269535147,120.22100685347387,23.21735537939044,43,39,臺南市,麻豆區,北勢里|港尾里,15192,臺南市麻豆區港尾里客仔寮南50
16,120.22346383178363,23.21509806342941,120.22837778840322,23.21961269535147,120.22592081009344,23.21735537939044,43,40,臺南市,麻豆區,北勢里|港尾里,15193,臺南市麻豆區北勢里南50
17,120.22837778840322,23.21509806342941,120.23329174502285,23.21961269535147,120.230834766713,23.21735537939044,43,41,臺南市,麻豆區,北勢里,15194,臺南市下營區大吉里南50
18,120.23329174502285,23.21509806342941,120.2382057016424,23.21961269535147,120.23574872333259,23.21735537939044,43,42,臺南市,下營區|麻豆區,北勢里|大吉里,15195,臺南市麻豆區北勢里勢角仔南57
19,120.2382057016424,23.21509806342941,120.243119658262,23.21961269535147,120.24066267995221,23.21735537939044,43,43,臺南市,下營區|麻豆區,北勢里|大吉里,15196,臺南市麻豆區寮廍里84
20,120.17432426558777,23.210583431507352,120.17923822220736,23.21509806342941,120.17678124389757,23.212840747468377,44,30,臺南市,佳里區|學甲區|將軍區,大灣里|營溪里|苓仔寮里,15197,臺南市將軍區苓仔寮里崁頭寮
21,120.17923822220736,23.210583431507352,120.18415217882692,23.21509806342941,120.18169520051713,23.212840747468377,44,31,臺南市,佳里區|學甲區,大灣里|營溪里,15198,臺南市學甲區大灣里大灣中央公路
22,120.18415217882692,23.210583431507352,120.18906613544651,23.21509806342941,120.18660915713673,23.212840747468377,44,32,臺南市,佳里區|學甲區,大灣里|營溪里,15199,臺南市學甲區大灣里大灣中央公路
23,120.18906613544651,23.210583431507352,120.19398009206611,23.21509806342941,120.19152311375632,23.212840747468377,44,33,臺南市,學甲區|麻豆區,大灣里|港尾里|豐和里,15200,臺南市學甲區大灣里大灣學甲糖鐵自行車道
24,120.19398009206611,23.210583431507352,120.1988940486857,23.21509806342941,120.19643707037592,23.212840747468377,44,34,臺南市,學甲區|麻豆區,港尾里|豐和里,15201,臺南市學甲區豐和里下草坔南52
25,120.1988940486857,23.210583431507352,120.20380800530529,23.21509806342941,120.20135102699551,23.212840747468377,44,35,臺南市,學甲區|麻豆區,港尾里|豐和里,15202,臺南市麻豆區港尾里營後麻學路二段
26,120.20380800530529,23.210583431507352,120.20872196192488,23.21509806342941,120.20626498361507,23.212840747468377,44,36,臺南市,學甲區|麻豆區,港尾里|豐和里,15203,臺南市麻豆區港尾里營後麻學路二段
