grid_id,row,col,event1_num,event2_num,event3_num,event4_num,event5_num,event6_num
0,40,38,0,0,56942.48866073659,6,1,0
1,40,39,0,0,43240.996220245535,0,0,0
2,40,40,0,0,44366.332073415164,3,0,0
3,41,38,0,0,47539.61255724295,2,1,0
4,41,39,0,0,33838.23186630462,110,16,0
5,41,40,0,0,34963.595656862446,11,0,0
6,41,41,0,0,32610.381258932714,3,0,0
7,42,37,0,0,50084.7243616616,7,7,0
8,42,38,0,0,54712.95922972613,14,0,0
9,42,39,0,0,41012.42277400768,50,8,0
10,42,40,0,0,42138.004607717536,8,0,0
11,42,41,0,0,39784.846466662566,0,0,0
12,42,42,0,0,28494.788919397448,2,0,0
13,43,37,0,0,45527.25902998362,0,0,0
14,43,38,0,0,50151.087907719724,0,0,0
15,43,39,0,0,36449.66101322413,3,0,0
16,43,40,0,0,37575.0747480277,0,0,0
17,43,41,0,0,35221.888646464846,43,1,0
18,43,42,0,0,23931.82773425785,0,0,0
19,43,43,0,0,35914.80739940772,30,0,0
20,44,30,0,0,31967.429151640277,0,0,0
21,44,31,0,0,28444.771610095293,15,0,0
22,44,32,0,0,50536.42907551077,125,12,0
23,44,33,0,0,62560.78748933307,3,0,0
24,44,34,0,0,49101.47997557712,9,2,0
25,44,35,0,0,41974.033133704936,20,1,0
26,44,36,0,0,43210.43648631768,7,0,0
27,44,37,0,0,54064.36585938567,1,0,0
28,44,38,0,0,61098.98458903513,65,4,0
29,44,39,0,0,43633.71520075309,2,1,0
30,44,40,0,0,43879.59664959359,2,0,0
31,44,41,0,0,40448.82843201948,0,0,0
32,44,42,0,0,25036.218722092442,6,1,0
33,44,43,0,0,39639.34204050007,33,1,0
34,44,44,0,0,47364.38085795244,0,0,0
35,45,30,0,0,30354.556719297943,0,0,0
36,45,31,0,0,27319.058272824503,94,1,0
37,45,32,0,1,46084.22186502333,254,10,0
38,45,33,0,0,55015.728529065294,0,0,0
39,45,34,0,0,43372.98664997013,2,0,0
40,45,35,0,0,37815.23113639496,0,0,0
41,45,36,0,0,39039.64309615435,10,1,1
42,45,37,0,0,47830.328944825116,2,0,0
43,45,38,0,0,53193.17957394125,14,0,0
44,45,39,0,0,38735.32488414978,0,0,0
45,45,40,0,0,39451.70657391203,23,1,0
46,45,41,0,0,36726.85994195907,60,3,0
47,45,42,0,0,24313.245856489062,4,1,0
48,45,43,0,0,36670.37316472347,21,2,0
49,45,44,0,0,42549.22719614517,8,0,0
50,46,30,0,0,32095.14852173865,0,0,0
51,46,31,0,0,28376.40226485439,0,0,0
52,46,32,0,0,52060.03982657701,53,4,0
53,46,33,0,0,64577.25611854742,4,2,0
54,46,34,0,0,50854.35870061696,0,0,0
55,46,35,0,0,43273.86327900397,43,1,0
56,46,36,0,0,44228.16879171944,119,4,0
57,46,37,0,0,55171.29993280008,77,0,0
58,46,38,0,0,62481.99316891378,0,0,0
59,46,39,0,0,44856.60601768785,0,0,0
60,46,40,0,0,44912.77086386663,31,2,0
61,46,41,0,0,41294.87693527524,69,2,0
62,46,42,0,0,25445.374263921432,30,0,0
63,46,43,0,0,40027.582476214964,0,0,0
64,46,44,0,0,47992.35322412005,0,0,0
65,46,45,0,0,34815.001767324684,5,4,0
66,46,46,0,0,30577.135615454434,2,0,0
