grid_id,row,col,store
0,40,7,0
1,40,8,0
2,40,9,0
3,40,10,0
4,40,11,0
5,40,12,0
6,40,13,0
7,40,14,0
8,40,15,0
9,40,16,0
10,40,17,0
11,40,18,0
12,40,19,0
13,40,20,1
14,40,21,0
15,40,22,0
16,40,23,0
17,40,24,0
18,40,25,0
19,40,26,2
20,40,27,0
21,40,28,0
22,40,29,2
23,40,30,69
24,40,31,184
25,40,32,26
26,40,33,0
27,40,34,0
28,40,35,0
29,40,36,0
30,40,37,0
31,40,38,0
32,40,39,0
33,40,40,0
34,40,41,0
35,40,42,0
36,40,43,7
37,40,44,0
38,40,45,6
39,40,46,10
40,40,47,32
41,40,48,44
42,40,49,5
43,40,50,0
44,40,51,0
45,40,52,4
46,40,53,0
47,40,54,2
48,40,55,0
49,40,56,3
50,40,57,0
51,40,58,0
52,40,59,0
53,40,60,0
54,40,61,0
55,40,62,0
56,40,63,1
57,40,64,27
58,40,65,109
59,40,66,178
60,40,67,7
61,40,68,0
62,40,69,0
63,40,70,0
64,40,71,0
65,40,72,0
66,40,73,0
67,40,74,0
68,41,7,0
69,41,8,0
70,41,9,0
71,41,10,0
72,41,11,0
73,41,12,0
74,41,13,0
75,41,14,0
76,41,15,0
77,41,16,0
78,41,17,0
79,41,18,0
80,41,19,0
81,41,20,0
82,41,21,0
83,41,22,3
84,41,23,0
85,41,24,0
86,41,25,0
87,41,26,0
88,41,27,1
89,41,28,0
90,41,29,0
91,41,30,11
92,41,31,37
93,41,32,23
94,41,33,1
95,41,34,0
96,41,35,1
97,41,36,0
98,41,37,0
99,41,38,0
100,41,39,3
101,41,40,0
102,41,41,0
103,41,42,0
104,41,43,0
105,41,44,0
106,41,45,1
107,41,46,1
108,41,47,5
109,41,48,4
110,41,49,0
111,41,50,1
112,41,51,0
113,41,52,1
114,41,53,1
115,41,54,0
116,41,55,0
117,41,56,0
118,41,57,0
119,41,58,0
120,41,59,0
121,41,60,0
122,41,61,0
123,41,62,0
124,41,63,5
125,41,64,22
126,41,65,54
127,41,66,108
128,41,67,1
129,41,68,0
130,41,69,2
131,41,70,0
132,41,71,0
133,41,72,0
134,41,73,0
135,41,74,0
136,42,7,0
137,42,8,0
138,42,9,0
139,42,10,0
140,42,11,0
141,42,12,0
142,42,13,0
143,42,14,2
144,42,15,0
145,42,16,2
146,42,17,0
147,42,18,1
148,42,19,0
149,42,20,0
150,42,21,0
151,42,22,0
152,42,23,1
153,42,24,1
154,42,25,7
155,42,26,4
156,42,27,9
157,42,28,15
158,42,29,2
159,42,30,1
160,42,31,6
161,42,32,13
162,42,33,1
163,42,34,3
164,42,35,3
165,42,36,0
166,42,37,4
167,42,38,0
168,42,39,2
169,42,40,1
170,42,41,0
171,42,42,0
172,42,43,0
173,42,44,0
174,42,45,0
175,42,46,0
176,42,47,2
177,42,48,1
178,42,49,0
179,42,50,2
180,42,51,2
181,42,52,2
182,42,53,0
183,42,54,0
184,42,55,0
185,42,56,0
186,42,57,0
187,42,58,0
188,42,59,0
189,42,60,1
190,42,61,8
191,42,62,1
192,42,63,0
193,42,64,20
194,42,65,18
195,42,66,21
196,42,67,0
197,42,68,0
198,42,69,0
199,42,70,0
200,42,71,0
201,42,72,0
202,42,73,0
203,42,74,0
204,43,7,0
205,43,8,0
206,43,9,0
207,43,10,0
208,43,11,0
209,43,12,1
210,43,13,14
211,43,14,0
212,43,15,1
213,43,16,1
214,43,17,0
215,43,18,1
216,43,19,0
217,43,20,0
218,43,21,2
219,43,22,24
220,43,23,3
221,43,24,0
222,43,25,0
223,43,26,6
224,43,27,9
225,43,28,11
226,43,29,0
227,43,30,0
228,43,31,0
229,43,32,1
230,43,33,0
231,43,34,8
232,43,35,6
233,43,36,0
234,43,37,0
235,43,38,0
236,43,39,0
237,43,40,0
238,43,41,1
239,43,42,0
240,43,43,0
241,43,44,0
242,43,45,0
243,43,46,0
244,43,47,0
245,43,48,4
246,43,49,6
247,43,50,19
248,43,51,18
249,43,52,2
250,43,53,0
251,43,54,0
252,43,55,0
253,43,56,0
254,43,57,0
255,43,58,0
256,43,59,7
257,43,60,16
258,43,61,25
259,43,62,0
260,43,63,14
261,43,64,0
262,43,65,14
263,43,66,3
264,43,67,0
265,43,68,0
266,43,69,0
267,43,70,0
268,43,71,0
269,43,72,0
270,43,73,0
271,43,74,0
272,44,7,0
273,44,8,0
274,44,9,0
275,44,10,0
276,44,11,11
277,44,12,0
278,44,13,4
279,44,14,0
280,44,15,0
281,44,16,1
282,44,17,0
283,44,18,0
284,44,19,1
285,44,20,1
286,44,21,2
287,44,22,2
288,44,23,0
289,44,24,1
290,44,25,2
291,44,26,0
292,44,27,2
293,44,28,5
294,44,29,0
295,44,30,0
296,44,31,0
297,44,32,6
298,44,33,0
299,44,34,1
300,44,35,0
301,44,36,0
302,44,37,0
303,44,38,4
304,44,39,0
305,44,40,0
306,44,41,0
307,44,42,1
308,44,43,1
309,44,44,0
310,44,45,0
311,44,46,0
312,44,47,0
313,44,48,7
314,44,49,2
315,44,50,15
