grid_id,row,col,population
0,40,38,6
1,40,39,0
2,40,40,3
3,41,38,2
4,41,39,106
5,41,40,11
6,41,41,4
7,42,37,8
8,42,38,14
9,42,39,61
10,42,40,10
11,42,41,0
12,42,42,2
13,43,37,0
14,43,38,0
15,43,39,2
16,43,40,0
17,43,41,47
18,43,42,0
19,43,43,29
20,44,30,0
21,44,31,18
22,44,32,119
23,44,33,3
24,44,34,9
25,44,35,21
26,44,36,7
27,44,37,1
28,44,38,60
29,44,39,2
30,44,40,2
31,44,41,0
32,44,42,6
33,44,43,33
34,44,44,0
35,45,30,0
36,45,31,93
37,45,32,249
38,45,33,0
39,45,34,2
40,45,35,0
41,45,36,10
42,45,37,2
43,45,38,14
44,45,39,0
45,45,40,24
46,45,41,58
47,45,42,4
48,45,43,20
49,45,44,6
50,46,30,0
51,46,31,0
52,46,32,49
53,46,33,4
54,46,34,0
55,46,35,42
56,46,36,111
57,46,37,74
58,46,38,0
59,46,39,0
60,46,40,32
61,46,41,68
62,46,42,31
63,46,43,0
64,46,44,0
65,46,45,6
66,46,46,3
67,46,47,0
68,46,48,36
69,46,49,1
70,46,50,2
71,46,51,0
72,46,52,11
73,46,53,13
74,47,30,0
75,47,31,1
76,47,32,83
77,47,33,131
78,47,34,0
79,47,35,0
80,47,36,94
81,47,37,94
82,47,38,251
83,47,39,114
84,47,40,62
85,47,41,0
86,47,42,0
87,47,43,6
88,47,44,77
89,47,45,28
90,47,46,0
91,47,47,2
92,47,48,12
93,47,49,0
94,47,50,0
95,47,51,7
96,47,52,0
97,47,53,0
98,48,29,0
99,48,30,2
100,48,31,0
101,48,32,129
102,48,33,93
103,48,34,2
104,48,35,54
105,48,36,4
106,48,37,108
107,48,38,52
108,48,39,0
109,48,40,250
110,48,41,241
111,48,42,47
112,48,43,51
113,48,44,0
114,48,45,88
115,48,46,25
116,48,47,19
117,48,48,45
118,48,49,4
119,48,50,0
120,48,51,0
121,48,52,117
122,48,53,1
123,49,26,54
124,49,29,5
125,49,30,55
126,49,31,36
127,49,32,363
128,49,33,263
129,49,34,24
130,49,35,7
131,49,36,0
132,49,37,97
133,49,38,0
134,49,39,104
135,49,40,135
136,49,41,0
137,49,42,23
138,49,43,354
139,49,44,419
140,49,45,386
141,49,46,150
142,49,47,41
143,49,48,58
144,49,49,0
145,49,50,0
146,49,51,163
147,49,52,127
148,49,53,65
149,50,25,9
150,50,26,3
151,50,27,4
152,50,28,0
153,50,29,0
154,50,30,4
155,50,31,2
156,50,32,187
157,50,33,386
158,50,34,243
159,50,35,2
160,50,36,0
161,50,37,2
162,50,38,1
163,50,39,0
164,50,40,43
165,50,41,59
166,50,42,0
167,50,43,609
168,50,44,1137
169,50,45,734
170,50,46,562
171,50,47,218
172,50,48,125
173,50,49,44
174,50,50,2
175,50,51,42
176,50,52,151
177,50,53,0
178,51,24,49
179,51,25,177
180,51,26,224
181,51,27,0
182,51,28,58
183,51,29,12
184,51,30,32
185,51,31,0
186,51,32,0
187,51,33,98
188,51,34,31
189,51,35,48
190,51,36,122
191,51,37,0
192,51,38,72
193,51,39,57
194,51,40,0
195,51,41,0
196,51,42,3
197,51,43,387
198,51,44,741
199,51,45,1016
200,51,46,613
201,51,47,311
202,51,48,255
203,51,49,114
204,51,50,0
205,51,51,0
