grid_id,row,col,event1_num,event2_num,event3_num,event4_num,event5_num,event6_num
0,40,38,-0.00668933754786849,-0.004472800530493259,0.23685696721076965,-0.007886608131229877,-0.009289538487792015,1.705951217445545e-05
1,40,39,-0.006666939239948988,-0.004192647058516741,0.23859518766403198,-0.009018589742481709,-0.009407700039446354,0.00068070855922997
2,40,40,-0.007200096733868122,-0.00427354546263814,0.24671678245067596,-0.01114435400813818,-0.01000840775668621,0.0006934702396392822
3,41,38,-0.0030924822203814983,-0.00299657741561532,0.36504384875297546,-0.014756772667169571,-0.010852311737835407,-0.0003915485576726496
4,41,39,-0.0029067571740597486,-0.0025146210100501776,0.3695780634880066,-0.02095424197614193,-0.011998905800282955,7.626969454577193e-05
5,41,40,-0.0032701764721423388,-0.002669078065082431,0.3786606788635254,-0.02483532391488552,-0.013347243890166283,-0.0004945055115967989
6,41,41,-0.003273522015661001,-0.0027575187850743532,0.3856603801250458,-0.023878544569015503,-0.013524231500923634,-0.0004931087023578584
7,42,37,-0.0020709922537207603,-0.002580071333795786,0.4171512722969055,-0.02258944697678089,-0.013681026175618172,-0.0010860495967790484
8,42,38,-0.002184130484238267,-0.0026551459450274706,0.41004136204719543,-0.012694766744971275,-0.011856883764266968,-0.0013711008941754699
9,42,39,-0.0021205227822065353,-0.00216263928450644,0.4141371250152588,-0.0227254219353199,-0.01357924286276102,-0.0011861060047522187
10,42,40,-0.002450206782668829,-0.0023172195069491863,0.42152222990989685,-0.02348128892481327,-0.014684883877635002,-0.001677910564467311
11,42,41,-0.0023102378472685814,-0.0023588845506310463,0.4272140562534332,-0.021728742867708206,-0.014492534101009369,-0.001555315568111837
12,42,42,-0.002577921375632286,-0.002479534363374114,0.43361324071884155,-0.023119814693927765,-0.015292107127606869,-0.001812077360227704
13,43,37,-0.002004050649702549,-0.002417049603536725,0.42944464087486267,-0.02839343436062336,-0.014721579849720001,-0.0010975917102769017
14,43,38,-0.0019449741812422872,-0.0023974834475666285,0.42231833934783936,-0.019453924149274826,-0.013232345692813396,-0.0015192325226962566
