grid_id,row,col,event1_num,event2_num,event3_num,event4_num,event5_num,event6_num,time
2992,114,47,0,0,50917.98296161743,0,0,0,-12
2992,114,47,0,0,50534.209781098056,0,0,0,-11
2992,114,47,0,0,50576.614317018655,0,0,0,-10
2992,114,47,0,0,50684.2326286429,0,0,0,-9
2992,114,47,0,0,50755.24837452597,0,0,0,-8
2992,114,47,0,0,51834.97893318068,0,0,0,-7
2992,114,47,0,0,52571.34983501338,0,0,0,-6
2992,114,47,0,0,46421.20202453415,0,0,0,-5
2992,114,47,0,0,50090.918353125555,0,0,0,-4
2992,114,47,0,0,44195.675401162596,0,0,0,-3
2992,114,47,0,0,45973.885812569286,0,0,0,-2
2992,114,47,0,0,55317.471678927286,0,0,0,-1
2992,114,47,0,0,59793.8887894216,0,0,0,0
2992,114,47,0,0.042911695038565206,66186.93658422603,129.18180580769769,0.005803308157904433,0.15077741910477227,1
2992,114,47,6.856601541463351e-05,0.0006115489093729275,67880.33845881009,94.14206825300123,0.01111919423579557,0.09701253053364528,2
2992,114,47,0.004766212192281072,0,68119.8289686145,65.89781178107313,0.01262616766378108,0.03681707065498602,3
2992,114,47,0.00950941100618514,0,67907.89335621067,37.3232218428552,0.01248770895194426,0.008946093758672119,4
2992,114,47,0.013903442447162859,0,67404.98504004044,14.810497853869169,0.01127256006275057,0.0006436082891818013,5
2992,114,47,0.018594045975377442,0,66664.8472481177,2.165218618078984,0.009366464319346634,0,6
2992,114,47,0.023655801126624288,0,65730.11680692383,0,0.00714442571291133,0,7
2992,114,47,0.02896963606773972,0,64640.877583020105,0,0.0049320294160999385,0,8
2992,114,47,0.03440946564988909,0,63433.50200026277,0,0.002977489822909464,0,9
2992,114,47,0.03988601787202372,0,62139.5793484495,0,0.0014493209095568474,0,10
2992,114,47,0.04534330084592803,0,60785.95875186643,0,0.0004472385245488508,0,11
2992,114,47,0.050746987710599205,0,59394.90668289954,0,1.6902271292425463e-05,0,12
