grid_id,row,col,event1_num,event2_num,event3_num,event4_num
0,40,38,5.036719716043956e-07,8.068537614570306e-08,0,0
1,40,39,0,0,1.254835245823107e-06,1.5447755787143066e-06
2,40,40,3.969796340319967e-07,9.29655156623183e-07,0,0
3,41,38,1.3487218640762056e-07,1.044811837397557e-06,1.6093972672319656e-06,2.0447911241126692e-06
4,41,39,0,0,0,0
5,41,40,2.0664139801497327e-06,1.7856397984723456e-06,3.7363179561627905e-06,2.1359812817757375e-06
6,41,41,0,0,0,0
7,42,37,7.869624734859141e-07,1.1309989239205017e-06,3.8762600744491475e-07,1.2156556198625283e-06
8,42,38,0,0,1.4702111383958813e-07,0
9,42,39,1.649487382952813e-06,7.757691099320469e-07,0,1.0163426187810628e-06
10,42,40,0,0,2.385473971421997e-06,3.413128873850306e-07
11,42,41,0,2.7045745189877683e-06,0,3.631347480208901e-07
12,42,42,5.780893024835874e-06,0,1.1239191117690823e-05,0
13,43,37,0,8.659661523622385e-07,1.3696247771049046e-06,2.6783916873082375e-06
14,43,38,3.077451315914328e-07,0,0,0
15,43,39,0,0,0,0
16,43,40,0,1.1608453806222455e-06,2.0431994421547657e-06,0
17,43,41,1.4400765329176448e-05,0,0,4.5097060077830123e-07
18,43,42,4.4819045123762585e-06,0,0,0
19,43,43,1.195699609339734e-05,1.1769384215746914e-05,3.1858358396809223e-06,3.062896106006382e-05
20,44,30,0,0,0,0
21,44,31,4.898051883752853e-06,0,2.509182326814281e-05,0
22,44,32,2.2417451142120456e-05,3.292628308415674e-05,6.5534980584422244e-06,0
23,44,33,7.131396917188175e-06,1.621489679709327e-05,0,3.3684315715851254e-05
24,44,34,0,0,4.156134238925221e-07,2.627522639207588e-07
25,44,35,1.945004102221375e-06,0,3.313214443801491e-07,0
26,44,36,0,1.5934337106799351e-06,0,3.932988499295402e-06
27,44,37,0,8.814870561130605e-07,1.8362168081964817e-06,4.0731975635842584e-07
28,44,38,2.259080632414621e-06,0,0,0
29,44,39,0,1.8136749291474946e-06,6.561606038018876e-06,9.10950694107067e-06
30,44,40,7.383858530505672e-06,9.660082976833088e-07,0,1.4181418871889066e-06
31,44,41,0,0,0,0
32,44,42,0,2.132435196826926e-05,4.5532390033676455e-05,6.378695544437515e-05
33,44,43,0,0,0,0
34,44,44,0,0,0,0
35,45,30,6.162518445513092e-06,1.6890332289811973e-06,5.6459474239929185e-06,0
36,45,31,9.704435694870106e-06,0,0,1.4677099500340467e-06
37,45,32,0,6.197872997958321e-07,8.876190613786806e-07,1.4888801196206041e-05
38,45,33,0,0,0,4.44801232534176e-07
39,45,34,0,0,6.602945765171897e-07,0
40,45,35,0,1.0965491687396201e-06,0,1.0752395029833432e-06
41,45,36,0,2.4764661081511943e-06,2.3248821010701006e-06,3.7859420791052416e-06
42,45,37,3.768990110758921e-06,0,0,0
43,45,38,4.180831820491064e-06,9.046204838919028e-07,0,8.547936422102588e-06
44,45,39,0,1.3807157497874841e-05,1.5345965678846617e-05,1.4325283940098568e-05
45,45,40,3.616306560582283e-05,0,0,0
46,45,41,0,2.4813865288647176e-05,4.19359608078658e-05,8.199186780337705e-05
47,45,42,4.061413339395017e-05,0,0,0
48,45,43,0.00010227376087649652,0,0,0
49,45,44,4.259143581166717e-05,6.5317231702379e-05,0.0001613643388376861,0.00020104091202921066
50,46,30,2.0057114768562788e-05,0,8.341680164449512e-06,2.9341397740856315e-05
51,46,31,0,4.498615314246038e-06,7.595277952894636e-06,1.50184301715312e-05
