grid_id,row,col,event1_num,event2_num,event3_num,event4_num,event5_num,event6_num
0,40,38,0,0,65687.2452607461,5,0.0009661835748792269,0
1,40,39,0,0,64616.65462290554,0,0,0
2,40,40,0,0,66421.66946682922,3,0,0
3,41,38,0,0,71101.50146751797,2,0.0009661835748792269,0
4,41,39,0,0,50016.8672732174,107,0.014492753623188406,0
5,41,40,0,0,53014.36837992283,11,0,0
6,41,41,0,0,49410.863426671436,3,0,0
7,42,37,0,0,69796.06056293215,7,0.0057971014492753615,0
8,42,38,0,0,61694.29290648958,14,0,0
9,42,39,0,0,55340.81327638146,52,0.004830917874396135,0
10,42,40,0,0,62349.4755261097,7.999999999999997,0,0
11,42,41,0,0,59645.92819644764,0,0,0
12,42,42,0,0,45576.28526273571,2,0,0
13,43,37,0,0,64509.04211377456,0,0,0
14,43,38,0,0,67902.3828572155,0,0,0
15,43,39,0,0,50092.035349423495,3,0,0
16,43,40,0,0,55634.37857258545,0,0,0
17,43,41,0,0,57838.525705389344,45,0.0009661835748792269,0
18,43,42,0,0,53663.68963296674,0,0,0
19,43,43,0,0,53746.064159281515,28,0,0
20,44,30,0,0,53965.886432401545,0,0,0
21,44,31,0,0,44489.317115038146,16,0,0
22,44,32,0,0,60650.15269737907,120.99999999999999,0.011594202898550723,0
23,44,33,0,0,92714.24258117363,3,0,0
24,44,34,0,0,63085.250437016286,9,0.0019323671497584538,0
25,44,35,0,0,63032.703676569115,20,0,0
26,44,36,0,0,62537.613339450334,7,0,0
27,44,37,0,0,53632.95784400675,1,0,0
28,44,38,0,0,65122.30722912912,65,0.0038647342995169077,0
29,44,39,0,0,57332.91854076174,2,0.0009661835748792269,0
30,44,40,0,0,64930.694429833224,2,0,0
31,44,41,0,0,63442.60188365567,0,0,0
32,44,42,0,0,42579.90966976219,6,0.0009661835748792269,0
33,44,43,0,0,60119.02756015091,33,0.0009661835748792269,0
34,44,44,0,0,57715.556665278345,0,0,0
35,45,30,0,0,49823.29929802015,0,0,0
